"","Phylum_Reads","Family_Reads","Genus_Reads","ASV_Reads"
"D7_Soil_V1-tr515F_806R_02",304026,304026,304026,304026
"D7_Soil_V1-tr515F_806R_03",392488,392488,392488,392488
"D7_Soil_V1-tr515F_806R_04",397230,397230,397230,397230
"D7_Soil_V2-tr515F_806R_01",298374,298374,298374,298374
"D7_Soil_V2-tr515F_806R_02",476421,476421,476421,476421
"D7_Soil_V2-tr515F_806R_03",438042,438042,438042,438042
"D7_Soil_V2-tr515F_806R_04",431168,431168,431168,431168
"D7_Soil_V3-tr515F_806R_01",254008,254008,254008,254008
"D7_Soil_V3-tr515F_806R_02",294256,294256,294256,294256
"D7_Soil_V3-tr515F_806R_03",282259,282259,282259,282259
"D7_Soil_V3-tr515F_806R_04",256603,256603,256603,256603
"D7_Soil_V4-tr515F_806R_01",281950,281950,281950,281950
"D7_Soil_V4-tr515F_806R_02",317049,317049,317049,317049
"D7_Soil_V4-tr515F_806R_03",366978,366978,366978,366978
"D7_Soil_V4-tr515F_806R_04",1646,1646,1646,1646
"D7_Soil_V5-tr515F_806R_01",294139,294139,294139,294139
"D7_Soil_V5-tr515F_806R_02",353654,353654,353654,353654
"D7_Soil_V5-tr515F_806R_03",368044,368044,368044,368044
"D7_Soil_V5-tr515F_806R_04",337619,337619,337619,337619
"D7_Soil_V6-tr515F_806R_01",287148,287148,287148,287148
"D7_Soil_V6-tr515F_806R_02",397785,397785,397785,397785
"D7_Soil_V6-tr515F_806R_03",323728,323728,323728,323728
"D7_Soil_V6-tr515F_806R_04",342869,342869,342869,342869
"D7_Soil_V7-tr515F_806R_01",344816,344816,344816,344816
"D7_Soil_V7-tr515F_806R_02",349344,349344,349344,349344
"D7_Soil_V7-tr515F_806R_03",497841,497841,497841,497841
"D7_Soil_V7-tr515F_806R_04",329089,329089,329089,329089
"D7_Soil_V8-tr515F_806R_01",296542,296542,296542,296542
"D7_Soil_V8-tr515F_806R_02",382895,382895,382895,382895
"D7_Soil_V8-tr515F_806R_03",340249,340249,340249,340249
"D7_Soil_V8-tr515F_806R_04",355657,355657,355657,355657
"E1_Neg_515F_806R_01",364,364,364,364
"E1_Neg_tr515F_tr515R_01",443,443,443,443
"E1_Neg_tr515F_806R_01",2143,2143,2143,2143
"E1_Neg_515F_tr515R_01",296,296,296,296
"E1_Skin_515F_806R_02",2,2,2,2
"E1_Skin_515F_806R_03",918527,918527,918527,918527
"E1_Skin_515F_806R_04",727601,727601,727601,727601
"E1_Skin_515F_806R_05",805660,805660,805660,805660
"E1_Skin_515F_806R_06",1062300,1062300,1062300,1062300
