"","E1_Skin_515F_806R_03","E1_Skin_515F_806R_04","E1_Skin_515F_806R_05","E1_Skin_515F_806R_06","E1_Skin_tr515F_tr515R_01","E1_Skin_tr515F_tr515R_02","E1_Skin_tr515F_tr515R_03","E1_Skin_tr515F_tr515R_04","E1_Skin_tr515F_tr515R_05","E1_Skin_tr515F_tr515R_06","E1_Skin_tr515F_tr515R_07","E1_Skin_tr515F_tr515R_08","E2_Soil_515F_806R_03","E2_Soil_515F_806R_04","E2_Soil_515F_806R_05","E2_Soil_515F_806R_06","E2_Soil_515F_806R_07","E2_Soil_515F_806R_08","E2_Soil_tr515F_tr515R_01","E2_Soil_tr515F_tr515R_02","E2_Soil_tr515F_tr515R_03","E2_Soil_tr515F_tr515R_04","E2_Soil_tr515F_tr515R_05","E2_Soil_tr515F_tr515R_06","E2_Soil_tr515F_tr515R_07","E2_Soil_tr515F_tr515R_08"
"d__Bacteria;p__Planctomycetota;c__BD7-11;o__BD7-11;f__BD7-11",0,0,0,0,0,0,0,0,0,0,0,0,3,13,3,5,3,2,8,13,11,4,8,4,4,2
"d__Bacteria;p__Myxococcota;c__Polyangia;o__VHS-B3-70;f__VHS-B3-70",0,0,0,0,0,0,0,0,0,0,0,0,19,19,8,9,12,36,28,15,17,7,9,24,5,6
"d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__S32",0,0,0,0,0,0,0,0,0,0,0,0,55,45,35,32,53,49,80,39,43,63,59,78,28,60
"d__Bacteria;p__Elusimicrobiota;c__Elusimicrobia;o__MVP-88;f__MVP-88",0,0,0,0,0,0,0,0,0,0,0,0,8,10,8,9,5,9,5,17,22,14,3,6,0,34
"d__Bacteria;p__Patescibacteria;c__Parcubacteria;o__Parcubacteria;f__Parcubacteria",0,0,0,0,0,0,0,0,0,0,0,0,41,24,30,26,18,34,1,3,0,0,0,0,0,0
"d__Bacteria;p__Myxococcota;c__bacteriap25;o__bacteriap25;f__bacteriap25",0,0,0,0,0,0,0,0,0,0,0,0,1375,1247,1311,1285,1276,1422,1261,1318,1257,1082,1221,1327,1381,1317
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Amoebophilaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,5,9,8,12,5,0,0,0,0,0,3
"d__Bacteria;p__Abditibacteriota;c__Abditibacteria;o__Abditibacteriales;f__Abditibacteriaceae",0,0,0,0,0,0,0,0,0,0,0,0,64,59,53,60,39,71,49,51,28,50,31,29,60,34
"d__Bacteria;p__Proteobacteria;__;__;__",0,0,0,0,0,0,0,0,0,0,0,0,8,5,5,8,15,27,15,0,2,5,11,5,8,4
"d__Bacteria;p__Verrucomicrobiota;c__Chlamydiae;o__Chlamydiales;f__Parachlamydiaceae",0,0,0,0,0,0,0,0,0,0,0,0,66,30,29,58,23,61,0,0,0,3,5,0,0,2
"d__Bacteria;p__Dependentiae;c__Babeliae;o__Babeliales;f__Babeliaceae",0,0,0,0,0,0,0,0,0,0,0,0,15,5,2,0,2,0,6,0,0,3,0,7,3,0
"d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Solibacterales;f__Solibacteraceae",0,0,0,0,0,0,0,0,0,0,0,0,413,411,433,448,375,385,133,138,143,118,154,154,142,152
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__uncultured",0,0,0,0,0,0,0,0,0,0,0,0,189,232,206,228,266,208,183,226,137,210,238,223,234,237
"d__Bacteria;p__Entotheonellaeota;c__Entotheonellia;o__Entotheonellales;f__Entotheonellaceae",0,0,0,0,0,0,0,0,0,0,0,0,614,604,476,600,470,600,550,496,533,463,516,585,567,614
"d__Bacteria;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__Anaeromyxobacteraceae",0,0,0,0,0,0,0,0,0,0,0,0,199,202,244,216,208,210,212,165,235,188,227,180,216,197
"d__Bacteria;p__Dependentiae;c__Babeliae;o__Babeliales;f__Vermiphilaceae",0,0,0,0,0,0,0,0,0,0,0,0,10,6,4,1,8,7,0,1,0,9,9,7,2,6
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Euzebyales;f__Euzebyaceae",0,0,0,0,0,0,0,0,0,0,0,0,3,2,10,1,3,1,6,8,12,9,13,2,7,8
"d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Subgroup_17;f__Subgroup_17",0,0,0,0,0,0,0,0,0,0,0,0,105,112,139,140,172,207,199,198,211,234,154,176,182,200
"d__Bacteria;p__Planctomycetota;c__Pla4_lineage;o__Pla4_lineage;f__Pla4_lineage",0,0,0,0,0,0,0,0,0,0,0,0,9,3,4,1,3,0,9,1,4,3,29,8,3,7
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cellvibrionales;f__Cellvibrionaceae",0,0,0,0,0,0,0,0,0,0,0,0,268,212,250,208,216,284,216,238,249,166,149,142,188,224
"d__Bacteria;p__Chloroflexi;c__Chloroflexia;o__Chloroflexales;f__Chloroflexaceae",0,0,0,0,0,0,0,0,0,0,0,0,350,342,345,328,332,270,526,484,375,384,394,419,360,422
"d__Bacteria;p__Gemmatimonadota;c__BD2-11_terrestrial_group;o__BD2-11_terrestrial_group;f__BD2-11_terrestrial_group",0,0,0,0,0,0,0,0,0,0,0,0,68,70,48,39,71,44,44,81,42,56,46,67,47,30
"d__Bacteria;p__RCP2-54;c__RCP2-54;o__RCP2-54;f__RCP2-54",0,0,0,0,0,0,0,0,0,0,0,0,51,27,39,27,17,55,25,50,34,29,30,17,27,25
"d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__DS-100;f__DS-100",0,0,0,0,0,0,0,0,0,0,0,0,298,287,220,328,270,296,421,425,424,410,361,376,357,378
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Tistrellales;f__Geminicoccaceae",0,0,0,0,0,0,0,0,0,0,0,0,1988,2072,2182,2127,2234,1831,1922,1958,1991,2027,1960,1807,1911,1799
"d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__uncultured;f__uncultured",0,0,0,0,0,0,0,0,0,0,0,0,220,248,273,228,250,225,196,169,205,188,217,250,165,179
"d__Bacteria;p__SAR324_clade(Marine_group_B);c__SAR324_clade(Marine_group_B);o__SAR324_clade(Marine_group_B);f__SAR324_clade(Marine_group_B)",0,0,0,0,0,0,0,0,0,0,0,0,30,28,33,28,34,39,20,29,20,5,46,33,22,31
"d__Bacteria;p__Planctomycetota;c__vadinHA49;o__vadinHA49;f__vadinHA49",0,0,0,0,0,0,0,0,0,0,0,0,40,23,40,35,33,30,15,10,33,30,27,22,15,46
"d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Opitutaceae",0,0,0,0,0,0,0,0,0,0,0,0,489,498,496,479,530,666,424,408,338,393,372,502,400,403
"d__Bacteria;p__Cyanobacteria;c__Vampirivibrionia;o__Vampirovibrionales;f__Vampirovibrionaceae",0,0,0,0,0,0,0,0,0,0,0,0,1,9,8,10,5,5,0,0,2,2,4,6,14,3
"d__Bacteria;p__Chloroflexi;c__Anaerolineae;__;__",0,0,0,0,0,0,0,0,0,0,0,0,36,27,17,53,33,24,46,44,42,30,45,33,23,43
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia;f__Gracilibacteraceae",0,0,0,0,0,0,0,0,0,0,0,0,40,25,19,23,10,50,19,21,13,9,12,33,6,20
"d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Marine_Group_II;f__Marine_Group_II",0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,8,3,0,5,2,2,5,4,0,8
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Rickettsiaceae",0,0,0,0,0,0,0,0,0,0,0,0,16,8,35,27,16,30,26,16,14,18,13,4,20,17
"d__Bacteria;p__Chloroflexi;c__Dehalococcoidia;o__S085;f__S085",0,0,0,0,0,0,0,0,0,0,0,0,190,252,211,232,224,265,293,270,285,284,243,403,258,333
"d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;__",0,0,0,0,0,0,0,0,0,0,0,0,914,1002,968,790,809,844,761,839,768,829,895,839,830,688
"d__Bacteria;p__Armatimonadota;c__uncultured;o__uncultured;f__uncultured",0,0,0,0,0,0,0,0,0,0,0,0,535,487,455,412,408,495,717,641,664,604,539,652,753,637
"d__Bacteria;p__Bdellovibrionota;c__Oligoflexia;o__Silvanigrellales;f__Silvanigrellaceae",0,0,0,0,0,0,0,0,0,0,0,0,5,8,0,3,7,6,16,8,0,9,3,9,4,9
"d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;__;__",0,0,0,0,0,0,0,0,0,0,0,0,1006,879,819,919,792,711,618,761,684,704,719,764,637,599
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Defluviicoccales;f__Defluviicoccaceae",0,0,0,0,0,0,0,0,0,0,0,0,23,27,25,31,31,30,14,37,28,24,25,30,32,23
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Salinisphaerales;f__Solimonadaceae",0,0,0,0,0,0,0,0,0,0,0,0,12,11,15,22,6,4,1,19,4,16,16,22,0,9
"d__Bacteria;p__Myxococcota;c__Polyangia;o__Nannocystales;f__Nannocystaceae",0,0,0,0,0,0,0,0,0,0,0,0,110,74,96,114,83,94,92,84,61,65,73,91,88,103
"d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Gaiellales;__",0,0,0,0,0,0,0,0,0,0,0,0,2363,2133,2345,2144,2185,2162,1976,2038,1879,1948,1869,1964,1821,1882
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__NS11-12_marine_group",0,0,0,0,0,0,0,0,0,0,0,0,18,24,32,26,20,31,43,32,26,26,38,14,8,29
"d__Bacteria;p__Patescibacteria;c__Gracilibacteria;__;__",0,0,0,0,0,0,0,0,0,0,0,0,10,3,3,5,4,4,0,0,12,6,0,0,3,4
"d__Bacteria;p__Elusimicrobiota;c__Lineage_IIb;o__Lineage_IIb;f__Lineage_IIb",0,0,0,0,0,0,0,0,0,0,0,0,40,27,52,39,44,88,45,51,26,21,23,30,37,21
"d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__Thermoanaerobaculales;f__Thermoanaerobaculaceae",0,0,0,0,0,0,0,0,0,0,0,0,559,580,612,738,605,634,599,610,579,576,434,641,559,538
"d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__RBG-13-54-9;f__RBG-13-54-9",0,0,0,0,0,0,0,0,0,0,0,0,83,60,68,49,32,66,65,51,50,78,31,43,58,92
"d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Planctomycetales;f__uncultured",0,0,0,0,0,0,0,0,0,0,0,0,300,279,279,259,211,280,464,494,384,369,350,327,352,360
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Frankiales;__",0,0,0,0,0,0,0,0,0,0,0,0,548,502,546,625,516,477,521,530,452,556,652,441,455,527
"d__Bacteria;p__Verrucomicrobiota;c__Omnitrophia;o__Omnitrophales;f__Omnitrophaceae",0,0,0,0,0,0,0,0,0,0,0,0,4,5,2,12,11,6,10,27,6,6,8,26,0,0
"d__Bacteria;p__Firmicutes;c__Bacilli;__;__",0,0,0,0,0,0,0,0,0,0,0,0,27,36,30,29,38,48,0,2,0,2,8,3,2,0
"d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Sporomusaceae",0,0,0,0,0,0,0,0,0,0,0,0,17,2,5,8,6,10,7,10,15,19,8,15,7,22
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;__",0,0,0,0,0,0,0,0,0,0,0,0,46,62,73,37,31,36,11,39,33,31,34,70,40,21
"d__Bacteria;p__Patescibacteria;c__Parcubacteria;__;__",0,0,0,0,0,0,0,0,0,0,0,0,8,10,19,12,6,10,0,0,0,0,0,0,0,0
"d__Bacteria;p__Bdellovibrionota;c__Oligoflexia;o__Oligoflexales;f__uncultured",0,0,0,0,0,0,0,0,0,0,0,0,66,60,67,51,57,62,27,9,34,32,22,42,29,45
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia;f__Hungateiclostridiaceae",0,0,0,0,0,0,0,0,0,0,0,0,56,45,61,61,51,60,23,29,28,38,57,19,20,45
"d__Bacteria;p__Chloroflexi;c__Ktedonobacteria;o__C0119;f__C0119",0,0,0,0,0,0,0,0,0,0,0,0,614,549,555,598,481,683,704,609,764,716,662,691,654,718
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prolixibacteraceae",0,0,0,0,0,0,0,0,0,0,0,0,7,4,10,5,4,7,4,18,3,9,15,9,4,0
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Streptosporangiales;f__Streptosporangiaceae",0,0,0,0,0,0,0,0,0,0,0,0,219,234,233,251,248,256,199,187,170,178,208,268,196,238
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Paracaedibacterales;f__Paracaedibacteraceae",0,0,0,0,0,0,0,0,0,0,0,0,5,33,19,5,5,12,23,2,6,9,7,14,4,12
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Coxiellales;f__Coxiellaceae",0,0,0,0,0,0,0,0,0,0,0,0,7,13,17,6,0,17,11,6,10,15,6,8,8,8
"d__Bacteria;p__Patescibacteria;c__Microgenomatia;o__Microgenomatia;f__Microgenomatia",0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,7,0,0,4,6,0,9,1,2,3,24
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Thermincolales;f__Thermincolaceae",0,0,0,0,0,0,0,0,0,0,0,0,16,16,9,4,15,22,9,31,5,9,21,23,4,2
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__A21b",0,0,0,0,0,0,0,0,0,0,0,0,51,15,54,40,44,63,11,26,28,34,37,36,9,34
"d__Bacteria;p__Acidobacteriota;__;__;__",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,11,6,4,14,4,3,1,4,0,12
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Hyphomonadaceae",0,0,0,0,0,0,0,0,0,0,0,0,50,68,55,52,80,66,48,41,24,57,50,35,54,65
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae",0,0,0,0,0,0,0,0,0,0,0,0,52,71,111,87,92,60,67,54,53,75,54,52,47,42
"d__Bacteria;p__Chloroflexi;c__JG30-KF-CM66;o__JG30-KF-CM66;f__JG30-KF-CM66",0,0,0,0,0,0,0,0,0,0,0,0,711,577,586,545,697,574,857,720,842,836,851,793,776,687
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__uncultured;f__uncultured",0,0,0,0,0,0,0,0,0,0,0,0,126,184,111,125,122,111,90,116,120,82,116,165,129,109
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae",0,0,0,0,0,0,0,0,0,0,0,0,1252,1097,1123,1129,1207,1251,902,895,956,890,1078,996,923,1092
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;__",0,0,0,0,0,0,0,0,0,0,0,0,53,63,79,70,56,48,55,50,75,48,38,31,24,45
"d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;__;__",0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,6,7,12,0,1,5,0,0,0,0,7
"d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae_(Subgroup_1)",0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,3,6,12,1,9,3,0,1,4,7,7
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__R7C24;f__R7C24",0,0,0,0,0,0,0,0,0,0,0,0,101,55,88,85,85,77,61,90,99,80,79,76,93,75
"d__Bacteria;p__Elusimicrobiota;c__Lineage_IIa;o__Lineage_IIa;f__Lineage_IIa",0,0,0,0,0,0,0,0,0,0,0,0,46,79,55,44,39,68,42,51,28,27,43,18,26,33
"d__Bacteria;p__Myxococcota;c__Myxococcia;o__Myxococcales;__",0,0,0,0,0,0,0,0,0,0,0,0,5,17,8,3,3,15,0,4,1,21,3,0,13,0
"d__Bacteria;p__Bacteroidota;c__Kapabacteria;o__Kapabacteriales;f__Kapabacteriales",0,0,0,0,0,0,0,0,0,0,0,0,164,157,183,168,222,147,128,118,141,235,124,126,105,129
"d__Bacteria;p__Chloroflexi;c__OLB14;o__OLB14;f__OLB14",0,0,0,0,0,0,0,0,0,0,0,0,15,16,47,36,64,46,49,46,22,36,48,55,36,20
"d__Bacteria;p__Patescibacteria;c__Gracilibacteria;o__Candidatus_Peribacteria;f__Candidatus_Peribacteria",0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,10,1,3,14,22,2,6,3,13,8,9
"d__Bacteria;p__Armatimonadota;c__Armatimonadia;o__Armatimonadales;f__Armatimonadales",0,0,0,0,0,0,0,0,0,0,0,0,114,83,72,76,68,100,73,65,81,81,106,81,90,132
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__37-13",0,0,0,0,0,0,0,0,0,0,0,0,8,19,14,14,6,8,10,12,22,12,26,7,18,20
"d__Bacteria;p__Patescibacteria;c__Berkelbacteria;o__Berkelbacteria;f__Berkelbacteria",0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,6,3,6,12,0,10,10,4,14,16,27
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae",0,0,0,0,0,0,0,0,0,0,0,0,41,33,77,46,48,48,47,36,41,18,25,26,48,42
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Frankiales;f__Frankiales",0,0,0,0,0,0,0,0,0,0,0,0,16,6,13,4,9,15,25,13,14,8,14,3,9,20
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Frankiales;f__Sporichthyaceae",0,0,0,0,0,0,0,0,0,0,0,0,90,117,81,111,114,101,97,116,67,94,70,78,127,95
"d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__uncultured",0,0,0,0,0,0,0,0,0,0,0,0,38,35,35,50,51,33,14,54,37,25,51,8,37,44
"d__Bacteria;p__Acidobacteriota;c__Subgroup_5;o__Subgroup_5;f__Subgroup_5",0,0,0,0,0,0,0,0,0,0,0,0,147,133,153,96,133,127,89,142,69,141,114,81,114,88
"d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriae;f__Acidobacteriae",0,0,0,0,0,0,0,0,0,0,0,0,62,28,23,42,25,44,34,31,21,28,27,7,29,32
"d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__Microtrichaceae",0,0,0,0,0,0,0,0,0,0,0,0,105,105,121,106,76,77,90,74,108,90,87,102,78,68
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__NS9_marine_group",0,0,0,0,0,0,0,0,0,0,0,0,17,9,4,6,12,4,8,18,1,15,5,10,12,3
"d__Bacteria;p__Bdellovibrionota;c__Oligoflexia;o__Oligoflexales;f__Oligoflexales",0,0,0,0,0,0,0,0,0,0,0,0,36,54,29,46,48,47,54,18,28,40,41,33,37,31
"d__Bacteria;p__Latescibacterota;c__Latescibacterota;o__Latescibacterota;f__Latescibacterota",0,0,0,0,0,0,0,0,0,0,0,0,36,56,86,34,45,56,41,51,59,72,98,45,52,83
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cellvibrionales;f__Spongiibacteraceae",0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,13,21,0,2,6,0,10,4,0,0,0
"d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;__",0,0,0,0,0,0,0,0,0,0,0,0,82,77,101,87,96,78,55,98,67,77,64,84,63,53
"d__Bacteria;p__Acidobacteriota;c__Subgroup_25;o__Subgroup_25;f__Subgroup_25",0,0,0,0,0,0,0,0,0,0,0,0,22,5,11,7,22,0,30,18,16,17,13,37,57,10
"d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Ardenticatenales;f__Ardenticatenaceae",0,0,0,0,0,0,0,0,0,0,0,0,47,18,25,32,41,29,22,21,27,24,38,21,42,25
"d__Bacteria;p__Myxococcota;__;__;__",0,0,0,0,0,0,0,0,0,0,0,0,3,8,9,7,2,0,4,9,9,0,2,1,2,6
"d__Bacteria;p__Chloroflexi;c__Chloroflexia;o__Chloroflexales;f__Herpetosiphonaceae",0,0,0,0,0,0,0,0,0,0,0,0,138,107,168,132,126,114,194,188,189,133,152,178,166,156
"d__Bacteria;p__Chloroflexi;c__SHA-26;o__SHA-26;f__SHA-26",0,0,0,0,0,0,0,0,0,0,0,0,10,5,10,1,12,6,1,3,2,2,5,11,6,1
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__AKYH767",0,0,0,0,0,0,0,0,0,0,0,0,110,78,70,56,54,108,73,61,46,76,40,56,59,57
"d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__SBR1031;__",0,0,0,0,0,0,0,0,0,0,0,0,11,20,16,10,5,17,25,3,32,34,12,18,10,11
"d__Bacteria;p__Chloroflexi;c__Chloroflexia;o__Thermomicrobiales;f__Thermomicrobiaceae",0,0,0,0,0,0,0,0,0,0,0,0,69,36,48,68,73,104,77,95,112,70,135,122,101,99
"d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Tepidisphaerales;f__Tepidisphaeraceae",0,0,0,0,0,0,0,0,0,0,0,0,35,18,35,26,36,24,1,0,0,2,0,0,0,0
"d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__uncultured;f__uncultured",0,0,0,0,0,0,0,0,0,0,0,0,248,210,250,250,252,155,304,353,465,350,399,334,361,393
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Elsterales;f__Elsteraceae",0,0,0,0,0,0,0,0,0,0,0,0,15,30,32,28,31,14,10,23,11,33,15,10,28,17
"d__Bacteria;p__Bacteroidota;c__SJA-28;o__SJA-28;f__SJA-28",0,0,0,0,0,0,0,0,0,0,0,0,16,0,11,6,0,10,5,0,2,1,0,0,2,0
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__KD3-93",0,0,0,0,0,0,0,0,0,0,0,0,41,66,58,51,69,59,54,42,47,46,56,50,36,41
"d__Bacteria;p__Bdellovibrionota;__;__;__",0,0,0,0,0,0,0,0,0,0,0,0,13,4,7,2,3,0,6,7,13,5,1,0,11,18
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;__",0,0,0,0,0,0,0,0,0,0,0,0,10,7,2,12,7,1,4,0,2,0,12,5,8,0
"d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;__",0,0,0,0,0,0,0,0,0,0,0,0,1,8,10,14,16,7,3,12,5,3,3,0,4,3
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Azospirillales;f__uncultured",0,0,0,0,0,0,0,0,0,0,0,0,109,62,126,51,95,80,81,87,122,105,82,84,85,59
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Brevibacillales;f__Brevibacillaceae",0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,9,2,7,7,11,2,3,15,4,8,0
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__KF-JG30-B3",0,0,0,0,0,0,0,0,0,0,0,0,73,76,67,39,76,119,87,57,74,49,87,65,82,63
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micropepsales;f__Micropepsaceae",0,0,0,0,0,0,0,0,0,0,0,0,103,82,104,104,116,124,107,66,66,103,118,105,88,79
"d__Bacteria;p__Cyanobacteria;c__Vampirivibrionia;o__Obscuribacterales;f__Obscuribacteraceae",0,0,0,0,0,0,0,0,0,0,0,0,11,26,3,11,29,19,34,7,19,8,0,24,7,3
"d__Bacteria;p__WS2;c__WS2;o__WS2;f__WS2",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,11,6,2,13,16,10,3,3,6,16,3
"d__Bacteria;p__Armatimonadota;c__Chthonomonadetes;o__Chthonomonadales;f__Chthonomonadaceae",0,0,0,0,0,0,0,0,0,0,0,0,43,54,40,55,34,35,53,117,74,60,68,67,86,82
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Caloramatoraceae",0,0,0,0,0,0,0,0,0,0,0,0,14,5,0,12,17,15,4,0,5,5,11,4,6,2
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__B1-7BS",0,0,0,0,0,0,0,0,0,0,0,0,36,32,28,34,28,19,20,26,9,30,19,37,17,41
"d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineae;f__Anaerolineae",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,8,7,4,14,3,0,0,6
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae",0,0,0,0,0,0,0,0,0,0,0,0,126,118,122,129,127,123,114,90,83,96,96,116,70,98
"d__Bacteria;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__Vulgatibacteraceae",0,0,0,0,0,0,0,0,0,0,0,0,7,5,3,13,4,15,15,9,15,3,15,0,14,11
"d__Bacteria;p__Chloroflexi;c__Chloroflexia;o__Thermomicrobiales;__",0,0,0,0,0,0,0,0,0,0,0,0,30,50,11,13,35,16,22,24,5,16,13,32,14,12
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Kineosporiales;f__Kineosporiaceae",0,0,0,0,0,0,0,0,0,0,0,0,1318,1502,1464,1513,1496,1243,1297,1402,1379,1374,1360,1441,1262,1054
"d__Bacteria;p__Desulfobacterota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae",0,0,0,0,0,0,0,0,0,0,0,0,19,20,32,19,41,31,23,41,21,32,15,81,20,47
"d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;__;__",0,0,0,0,0,0,0,0,0,0,0,0,17,8,6,12,12,7,5,2,0,9,4,8,2,3
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__uncultured",0,0,0,0,0,0,0,0,0,0,0,0,5,7,2,1,4,0,11,9,0,11,0,6,17,8
"d__Bacteria;p__Fibrobacterota;c__Fibrobacteria;o__Fibrobacterales;f__Fibrobacteraceae",0,0,0,0,0,0,0,0,0,0,0,0,95,115,111,101,120,138,84,63,86,86,103,93,93,92
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Streptosporangiales;f__Streptosporangiales_Incertae_Sedis",0,0,0,0,0,0,0,0,0,0,0,0,84,46,74,75,72,54,69,74,87,82,97,61,51,35
"d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Planctomycetales;__",0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,7,5,2,0,1,9,4,0,2,15,9
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Nitrosococcales;f__Nitrosococcaceae",0,0,0,0,0,0,0,0,0,0,0,0,295,335,282,267,319,349,243,314,317,271,309,248,308,310
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Frankiales;f__uncultured",0,0,0,0,0,0,0,0,0,0,0,0,55,83,67,57,72,55,73,64,88,78,65,78,66,56
