"","E1_Skin_515F_806R_03","E1_Skin_515F_806R_04","E1_Skin_515F_806R_05","E1_Skin_515F_806R_06","E1_Skin_tr515F_tr515R_01","E1_Skin_tr515F_tr515R_02","E1_Skin_tr515F_tr515R_03","E1_Skin_tr515F_tr515R_04","E1_Skin_tr515F_tr515R_05","E1_Skin_tr515F_tr515R_06","E1_Skin_tr515F_tr515R_07","E1_Skin_tr515F_tr515R_08","E2_Soil_515F_806R_03","E2_Soil_515F_806R_04","E2_Soil_515F_806R_05","E2_Soil_515F_806R_06","E2_Soil_515F_806R_07","E2_Soil_515F_806R_08","E2_Soil_tr515F_tr515R_01","E2_Soil_tr515F_tr515R_02","E2_Soil_tr515F_tr515R_03","E2_Soil_tr515F_tr515R_04","E2_Soil_tr515F_tr515R_05","E2_Soil_tr515F_tr515R_06","E2_Soil_tr515F_tr515R_07","E2_Soil_tr515F_tr515R_08"
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;__;__",4,3,1,0,0,4,0,0,0,0,0,0,299,365,382,362,370,444,314,383,278,305,296,344,347,330
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Christensenellales;f__Christensenellaceae",1,0,6,3,0,0,0,2,1,7,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae",3,3,2,15,10,8,16,5,7,9,12,9,2970,2874,2608,2770,2950,3009,2606,2589,2328,2632,2495,2482,2675,2731
"d__Bacteria;p__Gemmatimonadota;c__S0134_terrestrial_group;o__S0134_terrestrial_group;f__S0134_terrestrial_group",0,2,1,0,0,0,0,0,0,4,0,0,532,497,359,422,475,470,426,455,436,486,330,405,418,441
"d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;__",1,0,2,1,0,0,2,1,0,1,0,0,87,100,75,109,81,74,126,119,150,118,86,98,93,112
"d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__BIrii41",0,0,5,0,2,0,0,0,0,0,0,0,747,845,740,935,854,791,806,633,718,821,647,744,840,703
"d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Blastocatellales;f__Blastocatellaceae",2,0,3,2,13,11,9,3,9,0,1,0,2871,2753,2892,3048,3077,3265,3670,3585,3853,3988,4001,4135,4201,4362
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae",1,4,0,0,3,0,0,0,0,1,0,0,93,132,128,121,104,122,120,90,126,123,137,121,78,149
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Azospirillales;f__Azospirillaceae",0,2,0,3,0,3,4,0,0,0,2,0,6387,6817,6672,6725,7086,7195,6121,6357,6192,6052,6196,6399,6550,7031
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Mycobacteriaceae",37,30,44,58,49,40,28,26,39,22,51,38,959,1007,943,937,803,1040,882,921,930,926,976,1018,1021,896
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae",876,956,1045,970,696,673,857,798,855,777,842,772,602,683,558,737,740,629,582,651,613,573,706,531,639,571
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Propionibacteriales;f__Nocardioidaceae",21,24,21,8,21,15,25,8,22,17,10,7,3613,3765,3475,3731,3710,3137,3343,3654,3614,3499,3575,3369,3401,3195
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micavibrionales;f__uncultured",7,7,4,7,8,0,2,11,12,1,4,3,29,28,24,28,29,15,12,9,12,10,20,51,20,26
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae",489,449,447,497,383,292,343,364,322,374,359,347,1345,1475,1348,1454,1326,1457,1120,1151,1161,1065,996,1257,1226,1262
"d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__LWQ8",0,0,0,0,1,0,0,2,0,0,4,1,288,253,241,220,270,209,361,399,293,339,294,365,300,378
"d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__67-14",1,11,4,1,4,9,9,3,1,4,4,6,5447,5731,5682,5470,5207,5350,4587,4753,5016,4777,4686,5182,4982,4552
"d__Bacteria;p__Chloroflexi;c__KD4-96;o__KD4-96;f__KD4-96",2,3,8,8,5,8,1,4,3,6,3,7,1337,1588,1437,1554,1386,1289,1935,1922,2017,2055,2033,1848,1934,1928
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae",150,170,159,162,149,156,103,162,155,176,121,163,1355,1402,1496,1392,1506,1314,1383,1304,1367,1407,1285,1410,1450,1258
"d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__Pirellulaceae",3,3,2,8,0,7,7,15,2,4,3,3,676,663,735,614,550,613,803,973,809,827,769,739,748,957
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;__",0,1,1,2,0,0,0,2,0,1,0,0,51,30,27,22,33,38,28,36,27,46,36,7,48,44
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae",366,365,378,346,250,303,322,291,306,348,328,308,865,978,931,938,941,1048,839,849,798,887,862,871,885,848
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae",69,74,91,83,59,66,61,58,74,68,99,48,1458,1368,1634,1537,1570,1392,1219,1236,1312,1356,1420,1295,1424,1248
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae",15,22,25,24,5,4,16,8,3,8,15,8,4899,4715,4577,5024,4715,4971,3966,4226,4137,4220,4216,4218,4438,4634
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Nocardiaceae",102,112,115,123,77,82,113,95,85,95,99,81,72,59,81,102,91,91,75,72,84,71,96,66,85,76
"d__Bacteria;p__Chloroflexi;c__Gitt-GS-136;o__Gitt-GS-136;f__Gitt-GS-136",0,0,1,1,0,2,3,0,4,8,0,0,15,3,11,3,15,14,13,6,35,6,7,16,25,5
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae",255,233,193,231,143,177,164,170,186,176,194,149,5667,5179,5375,5368,5359,5557,4814,4915,4720,4834,4689,4665,4997,5420
"d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__uncultured",0,0,4,3,0,9,7,5,7,3,0,0,5699,5707,5454,5457,5682,5727,7737,7953,7269,7194,7374,7244,7657,7481
"d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__Vicinamibacteraceae",7,4,6,9,12,4,1,7,4,2,2,4,6098,5757,5990,6021,6294,6114,8266,7935,7974,7598,7821,7677,7387,7920
"d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Gaiellales;f__uncultured",10,1,9,4,9,5,6,3,1,12,2,4,3696,3610,3835,3615,3716,3492,3194,3195,3364,3333,3250,3466,3134,2934
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae",3,7,3,1,3,2,7,0,3,1,3,0,162,129,180,180,149,182,134,110,148,139,141,153,148,138
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae",265,243,255,259,689,668,692,754,620,657,502,616,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Bdellovibrionota;c__Bdellovibrionia;o__Bacteriovoracales;f__Bacteriovoracaceae",0,0,0,2,0,0,0,1,4,0,2,0,67,75,33,65,44,87,74,59,52,53,74,69,47,61
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Microscillaceae",5,0,5,0,0,0,0,0,4,2,2,4,1016,1088,1120,1131,995,1206,767,750,830,740,895,838,919,955
"d__Bacteria;p__WPS-2;c__WPS-2;o__WPS-2;f__WPS-2",3,1,4,6,0,5,13,3,4,0,0,0,14,25,12,22,19,15,38,22,11,36,31,38,21,13
"d__Bacteria;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__Myxococcaceae",2,0,4,0,0,0,0,0,6,0,0,0,1365,1257,1434,1262,1309,1244,1188,1041,1009,1248,1110,978,1149,1216
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae",1,3,0,3,0,0,0,1,9,3,0,0,95,98,104,109,102,94,93,111,69,106,106,86,75,127
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae",10,12,16,7,17,13,36,29,17,22,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae",25,23,22,22,23,11,22,22,35,26,18,7,709,663,659,745,672,674,634,601,728,686,699,730,741,672
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae",37,25,19,24,5,5,22,23,10,26,23,24,578,626,592,563,602,582,505,466,485,468,466,502,507,568
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae",17,13,14,13,22,0,18,10,15,25,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Methylomirabilota;c__Methylomirabilia;o__Rokubacteriales;f__Rokubacteriales",0,0,0,1,4,2,10,1,0,0,0,0,91,91,108,102,118,109,182,164,161,116,123,122,154,105
"d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Pyrinomonadales;f__Pyrinomonadaceae",0,4,0,0,0,2,0,0,0,0,3,0,4304,4067,4264,3885,4074,4399,5874,5468,5689,5343,5275,5391,5825,5786
